,Workout Date,Calories Burned (kcal),Distance (mi),Steps,Duration (min),Avg Pace (min/mi),Max Pace (min/mi),Link,Year,Month
71,2023-05-24,120,1.51134,4436,28.866666666666667,19.1,12.6786,http://www.mapmyfitness.com/workout/7293593071,2023,5
72,2023-05-23,141,1.76771,6418,42.333333333333336,23.9481,11.6787,http://www.mapmyfitness.com/workout/7291433866,2023,5
73,2023-05-23,173,0.730324,11323,77.91666666666667,106.688,12.6119,http://www.mapmyfitness.com/workout/7290666172,2023,5
74,2023-05-22,345,1.47355,22541,155.08333333333334,105.245,12.4345,http://www.mapmyfitness.com/workout/7289188639,2023,5
75,2023-05-21,161,2.02604,7212,47.516666666666666,23.4529,12.1684,http://www.mapmyfitness.com/workout/7286160871,2023,5
76,2023-05-19,114,1.44754,4847,31.816666666666666,21.9799,13.0326,http://www.mapmyfitness.com/workout/7282777891,2023,5
77,2023-05-19,464,4.25801,6949,42.666666666666664,10.0203,6.37124,http://www.mapmyfitness.com/workout/7282721452,2023,5
78,2023-05-19,184,2.33017,6915,45.03333333333333,19.3262,10.0093,http://www.mapmyfitness.com/workout/7282033090,2023,5
79,2023-05-18,110,1.37984,4958,32.68333333333333,23.6863,8.76428,http://www.mapmyfitness.com/workout/7281054577,2023,5
80,2023-05-17,186,2.38626,7239,47.21666666666667,19.7869,9.48812,http://www.mapmyfitness.com/workout/7277970745,2023,5
81,2023-05-16,196,2.50331,7537,49.13333333333333,19.6273,8.25907,http://www.mapmyfitness.com/workout/7276049110,2023,5
82,2023-05-12,110,1.24894,5193,34.5,27.6235,11.2255,http://www.mapmyfitness.com/workout/7268690158,2023,5
83,2023-05-12,133,1.6889,5647,37.06666666666667,21.9473,13.1437,http://www.mapmyfitness.com/workout/7267953130,2023,5
84,2023-05-11,161,2.06389,6399,41.8,20.253,12.0261,http://www.mapmyfitness.com/workout/7266737878,2023,5
85,2023-05-11,162,2.03851,7229,47.61666666666667,23.3585,10.6005,http://www.mapmyfitness.com/workout/7265814022,2023,5
86,2023-05-09,219,2.20991,11321,75.9,34.3453,10.4781,http://www.mapmyfitness.com/workout/7265704144,2023,5
87,2023-05-08,163,2.05997,7142,46.983333333333334,22.8078,13.4987,http://www.mapmyfitness.com/workout/7260259888,2023,5
88,2023-05-08,90,1.13919,3928,25.833333333333332,22.6768,11.5061,http://www.mapmyfitness.com/workout/7259167393,2023,5
89,2023-05-05,272,2.09668,17663,120.25,57.3526,8.06866,http://www.mapmyfitness.com/workout/7254238243,2023,5
90,2023-05-02,296,2.98191,15273,102.4,34.3404,14.6446,http://www.mapmyfitness.com/workout/7253810608,2023,5
91,2023-04-30,129,1.65484,5188,33.916666666666664,20.4954,12.2637,http://www.mapmyfitness.com/workout/7243913179,2023,4
92,2023-04-29,114,1.2728,5392,35.85,28.1663,13.9639,http://www.mapmyfitness.com/workout/7241777923,2023,4
93,2023-04-28,167,2.11387,7023,46.083333333333336,21.8005,11.0319,http://www.mapmyfitness.com/workout/7240146025,2023,4
94,2023-04-27,265,2.92107,12623,84.01666666666667,28.7623,13.8288,http://www.mapmyfitness.com/workout/7238634109,2023,4
95,2023-04-26,620,5.83858,8966,54.583333333333336,9.34873,6.60945,http://www.mapmyfitness.com/workout/7238556619,2023,4
96,2023-04-26,171,2.16096,6339,41.25,19.0887,10.8269,http://www.mapmyfitness.com/workout/7235960737,2023,4
97,2023-04-25,158,1.98869,6834,44.93333333333333,22.5945,12.423,http://www.mapmyfitness.com/workout/7234843777,2023,4
98,2023-04-25,184,2.21209,8506,56.28333333333333,25.4435,4.80746,http://www.mapmyfitness.com/workout/7233999766,2023,4
99,2023-04-23,279,3.35563,12868,85.13333333333334,25.3703,11.9579,http://www.mapmyfitness.com/workout/7230518473,2023,4
100,2023-04-21,207,2.36492,9767,64.86666666666666,27.4287,8.55909,http://www.mapmyfitness.com/workout/7226296840,2023,4
101,2023-04-20,177,2.27228,6963,45.45,20.002,13.163,http://www.mapmyfitness.com/workout/7225219120,2023,4
102,2023-04-20,143,1.64152,6716,44.583333333333336,27.1598,11.7457,http://www.mapmyfitness.com/workout/7224326266,2023,4
103,2023-04-19,115,1.30433,5426,36.05,27.6388,8.59097,http://www.mapmyfitness.com/workout/7222893418,2023,4
104,2023-04-18,233,2.45131,11494,76.78333333333333,31.3234,8.5193,http://www.mapmyfitness.com/workout/7221029362,2023,4
105,2023-04-17,433,4.05762,6305,38.45,9.47601,2.00502,http://www.mapmyfitness.com/workout/7218419365,2023,4
106,2023-04-17,127,1.38152,6075,40.46666666666667,29.2914,11.0562,http://www.mapmyfitness.com/workout/7218041788,2023,4
107,2023-04-15,128,1.36574,6232,41.583333333333336,30.4476,15.5835,http://www.mapmyfitness.com/workout/7215049765,2023,4
108,2023-04-14,368,3.45233,5360,32.68333333333333,9.46703,6.89696,http://www.mapmyfitness.com/workout/7212891085,2023,4
109,2023-04-14,209,2.62185,9370,61.75,23.5521,12.1058,http://www.mapmyfitness.com/workout/7212394987,2023,4
110,2023-04-13,187,2.36198,8014,52.65,22.2906,3.86857,http://www.mapmyfitness.com/workout/7211244253,2023,4
111,2023-04-13,529,5.0073,7590,46.11666666666667,9.20989,7.36518,http://www.mapmyfitness.com/workout/7211164945,2023,4
112,2023-04-12,135,1.70238,5776,37.95,22.2923,12.265,http://www.mapmyfitness.com/workout/7209068005,2023,4
113,2023-04-11,155,1.96266,6712,44.11666666666667,22.478,11.8598,http://www.mapmyfitness.com/workout/7207052509,2023,4
114,2023-04-11,214,2.42548,10100,67.1,27.6646,11.5137,http://www.mapmyfitness.com/workout/7205924185,2023,4
115,2023-04-10,184,2.21723,8521,56.38333333333333,25.4296,13.1329,http://www.mapmyfitness.com/workout/7204066741,2023,4
116,2023-04-09,187,2.40525,7393,48.266666666666666,20.0672,11.1602,http://www.mapmyfitness.com/workout/7203673357,2023,4
117,2023-04-08,196,2.48946,7386,48.1,19.3214,9.55715,http://www.mapmyfitness.com/workout/7200107986,2023,4
118,2023-04-07,203,2.38715,9449,62.61666666666667,26.2308,11.4792,http://www.mapmyfitness.com/workout/7198363420,2023,4
119,2023-04-06,165,1.75952,7959,53.083333333333336,30.1691,15.6508,http://www.mapmyfitness.com/workout/7197252550,2023,4
120,2023-04-06,233,2.61811,5976,38.1,14.5525,9.16778,http://www.mapmyfitness.com/workout/7196650039,2023,4
121,2023-04-05,168,1.77388,8227,54.93333333333333,30.9679,13.2072,http://www.mapmyfitness.com/workout/7195398505,2023,4
122,2023-04-04,303,2.88297,16668,112.25,38.9356,11.3934,http://www.mapmyfitness.com/workout/7193644699,2023,4
123,2023-04-03,120,1.21704,6117,40.983333333333334,33.6745,8.86185,http://www.mapmyfitness.com/workout/7191642898,2023,4
124,2023-04-01,161,2.05353,6574,43.03333333333333,20.9558,9.44999,http://www.mapmyfitness.com/workout/7191621727,2023,4
125,2023-03-31,166,2.10524,6189,40.28333333333333,19.1348,10.3956,http://www.mapmyfitness.com/workout/7185235240,2023,3
126,2023-03-30,186,2.36708,7041,45.86666666666667,19.3769,8.20878,http://www.mapmyfitness.com/workout/7184333929,2023,3
127,2023-03-30,179,2.30371,7127,46.55,20.2066,10.6223,http://www.mapmyfitness.com/workout/7183783273,2023,3
128,2023-03-30,0,0.0,0,0.0,0.0,0.0,http://www.mapmyfitness.com/workout/7183490869,2023,3
129,2023-03-28,185,2.36253,7162,46.71666666666667,19.774,12.8345,http://www.mapmyfitness.com/workout/7180719865,2023,3
